category,category_name,casual,elegant,description,example,priority,tags,status
business,ビジネス敬語,はい,左様でございます,「はい」のより丁寧で上品な表現。,会議で「左様でございますね」,5,同意・返事・会議,確認済み
business,ビジネス敬語,そうですね,いかにも,同意を表す古風で品のある表現。,「いかにも、おっしゃる通りです」,4,同意・相槌,確認済み
business,ビジネス敬語,分かりました,心得ました,理解と実行の意志を示す表現。,「心得ました、早速取り掛かります」,5,理解・承諾,確認済み
business,ビジネス敬語,そうします,然るべく対処いたします,適切な方法で対応することを表す表現。,「然るべく対処いたします」,4,対応・実行,確認済み
business,ビジネス敬語,申し訳ありません,恐縮至極でございます,深い謝罪の気持ちを表す表現。,「恐縮至極でございます」,5,謝罪・お詫び,確認済み
time,時間・数量,すぐに,速やかに,迅速に行動することを表す格式ある表現。,メールで「速やかに対応させていただきます」,5,速度・緊急,確認済み
time,時間・数量,たくさん,多々,数量の多さを上品に表現する言葉。,「多々ご不便をおかけして申し訳ございません」,4,数量・謙遜,確認済み
time,時間・数量,少し,心ばかり,謙遜の気持ちを込めた少量を表す表現。,「心ばかりの品ですが、お納めください」,4,数量・贈り物,確認済み
time,時間・数量,いつも,常日頃,日常的に継続していることを表す格式ある表現。,「常日頃よりお世話になっております」,5,継続・習慣,確認済み
time,時間・数量,前もって,予め,事前に準備することを表す簡潔で品のある表現。,「予めご了承ください」,4,事前・準備,確認済み
email,メール定型文,お疲れ様です,いつもお世話になっております,より丁寧で感謝の気持ちを込めた挨拶。,メールの冒頭で使用,5,挨拶・感謝,確認済み
email,メール定型文,よろしくお願いします,何卒よろしくお願い申し上げます,強い敬意と懇願の気持ちを表す。,重要な依頼の締めくくりに,5,依頼・お願い,確認済み
email,メール定型文,ありがとうございます,深謝いたします,深い感謝の気持ちを表す。,特別な配慮への感謝,4,感謝・お礼,確認済み
email,メール定型文,お忙しい,ご多用,相手の忙しさを丁寧に表現。,「ご多用の中、お時間を」,4,配慮・気遣い,確認済み
email,メール定型文,連絡します,ご連絡申し上げます,連絡することを丁寧に表現。,「後日ご連絡申し上げます」,4,連絡・報告,確認済み
season,季節の挨拶,暑いですね,盛夏の候,真夏の時期を表す時候の挨拶。,7月下旬〜8月上旬に使用,4,夏・時候,確認済み
season,季節の挨拶,涼しくなりました,初秋の候,秋の始まりを表す時候の挨拶。,8月下旬〜9月上旬に使用,4,秋・時候,確認済み
season,季節の挨拶,寒いですね,厳冬の候,厳しい寒さの時期を表す。,1月〜2月の寒い時期に,4,冬・時候,確認済み
season,季節の挨拶,暖かくなりました,新緑の候,春から初夏の美しい季節を表現。,4月下旬〜5月に使用,4,春・時候,確認済み
season,季節の挨拶,桜が咲きました,桜花の候,桜の季節を表現する雅な挨拶。,4月上旬の桜の時期に,5,春・桜・時候,確認済み
katakana,カタカナ語→日本語,リスケしましょう,日程を調整いたします,スケジュール変更を丁寧に表現。,会議の時間変更を提案する際に,4,スケジュール・調整,確認済み
katakana,カタカナ語→日本語,アジェンダ,議題,会議で話し合う内容を表す。,「本日の議題は以下の通りです」,3,会議・議論,確認済み
katakana,カタカナ語→日本語,コミットします,お約束いたします,責任を持って実行することを表す。,「必ずお約束いたします」,5,約束・責任,確認済み
katakana,カタカナ語→日本語,フィードバック,ご意見・ご感想,相手の考えや評価を求める。,「ご意見をお聞かせください」,4,意見・評価,確認済み
katakana,カタカナ語→日本語,ブラッシュアップ,改善・向上,質を高めることを表現。,「さらなる改善を図ります」,3,改善・品質,確認済み
numbers,数字・単位,1つ,一点,単数を表す上品な表現。,「一点ご確認ください」,3,数量・単数,確認済み
numbers,数字・単位,2回,二度,回数を表す格調ある表現。,「二度とこのようなことが」,4,回数・頻度,確認済み
numbers,数字・単位,半分,半ば,中間点を表す美しい表現。,「プロジェクトも半ば」,3,割合・中間,確認済み
numbers,数字・単位,全部,一切,全てを表す力強い表現。,「一切の妥協はいたしません」,4,全体・完全,確認済み
numbers,数字・単位,3つ,三点,複数の物を上品に表現。,「三点ほどご質問があります」,3,数量・複数,確認済み
business,ビジネス敬語,ありがとうございます,痛み入ります,,,,,
business,ビジネス敬語,ちょっといいですか,お時間よろしいでしょうか,,,,,
business,ビジネス敬語,これでいいですか,こちらでよろしいでしょうか,,,,,
business,ビジネス敬語,わかりました,承知いたしました,,,,,
business,ビジネス敬語,よかったら,差し支えなければ,,,,,
business,ビジネス敬語,来てください,お越しください,,,,,
business,ビジネス敬語,待ってます,お待ちしております,,,,,
business,ビジネス敬語,はい,ええ,,,,,
business,ビジネス敬語,ちょっと待って下さい,少々お待ちくださいませ,,,,,
business,ビジネス敬語,その通りです,おっしゃる通りです,,,,,
business,ビジネス敬語,知ってます,存じ上げております,,,,,
business,ビジネス敬語,わかりました,かしこまりました,,,,,
business,ビジネス敬語,教えてください,ご教示願います,,,,,
business,ビジネス敬語,来ました,おいでになりました,,,,,
business,ビジネス敬語,返信不要です,ご返信には及びません,,,,,
business,ビジネス敬語,できません,ご容赦ください,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
business,ビジネス敬語,,,,,,,
